name,affinity
antivir1063,-5.7
antivir1007,-6.3
antivir1207,-6.8
antivir20,-7.4
antivir1681,-6.5
antivir2897,-6.0
antivir2893,-6.8
antivir1056,-6.9
antivir1587,-5.9
antivir2964,-6.4
antivir2757,-5.5
antivir3122,-5.4
antivir3267,-6.6
antivir1143,-6.0
antivir324,-5.0
antivir2977,-6.5
antivir2424,-6.2
antivir1025,-6.4
antivir296,-6.3
antivir2167,-6.8
antivir1514,-6.3
antivir2714,-5.8
antivir2365,-5.8
antivir1248,-5.4
antivir1699,-5.9
antivir1042,-6.2
antivir1334,-6.2
antivir2217,-7.2
antivir3253,-5.7
antivir1734,-6.9
antivir2766,-5.4
antivir2144,-6.7
antivir1547,-5.8
antivir2909,-6.4
antivir2947,-5.7
antivir115,-6.7
antivir1875,-7.2
antivir258,-6.7
antivir2371,-6.5
antivir1762,-6.0
antivir3248,-5.6
antivir1923,-6.8
antivir1592,-5.6
antivir2786,-4.8
antivir1,-8.1
antivir2644,-7.3
antivir2207,-4.5
antivir2704,-6.7
antivir3115,-5.2
antivir1660,-6.2
antivir1764,-5.6
antivir2113,-6.0
antivir1525,-6.5
antivir2702,-6.0
antivir2889,-5.1
antivir1521,-6.8
antivir1041,-6.1
antivir1497,-5.8
antivir181,-6.9
antivir3289,-5.7
antivir1262,-5.9
antivir2119,-6.4
antivir2453,-6.2
antivir2899,-5.7
antivir2405,-6.0
antivir3316,-5.8
antivir1561,-5.4
antivir2271,-6.4
antivir1546,-5.2
antivir2852,-5.4
antivir1496,-6.1
antivir2724,-5.0
antivir314,-7.0
antivir1578,-6.7
antivir2590,-6.0
antivir1746,-6.0
antivir2971,-5.7
antivir316,-6.4
antivir1379,-5.2
antivir2391,-6.9
antivir2108,-5.2
antivir2701,-5.5
antivir3255,-5.6
antivir1873,-6.6
antivir2834,-6.1
antivir1274,-5.8
antivir1116,-6.6
antivir1314,-5.1
antivir2383,-6.1
antivir2520,-7.4
antivir1401,-6.7
antivir2394,-6.1
antivir3227,-5.4
antivir1091,-6.1
antivir2000,-5.8
antivir222,-6.7
antivir1245,-6.5
antivir1128,-7.4
antivir1957,-6.5
antivir309,-6.8
antivir2352,-6.9
antivir1407,-6.1
antivir1040,-7.1
antivir31,-7.6
antivir1661,-6.1
antivir3273,-5.6
antivir291,-6.0
antivir3090,-4.3
antivir1567,-6.9
antivir2402,-6.8
antivir2700,-4.9
antivir1186,-6.7
antivir2321,-6.8
antivir3223,-5.9
antivir1127,-6.4
antivir2173,-6.0
antivir1251,-6.3
antivir2504,-6.3
antivir1175,-6.7
antivir182,-6.6
antivir2320,-6.3
antivir3218,-5.7
antivir1432,-7.1
antivir2661,-6.5
antivir1593,-6.5
antivir2406,-5.8
antivir1677,-5.3
antivir2793,-5.8
antivir1856,-6.3
antivir1753,-6.5
antivir1054,-6.1
antivir2403,-6.9
antivir2578,-6.6
antivir3241,-5.8
antivir1795,-6.4
antivir2860,-6.3
antivir1812,-6.5
antivir1605,-6.2
antivir287,-7.5
antivir3337,-6.6
antivir2097,-6.3
antivir1823,-6.8
antivir2048,-5.7
antivir3173,-5.5
antivir2970,-6.0
antivir1517,-6.6
antivir2085,-5.1
antivir2954,-7.0
antivir1471,-5.8
antivir1030,-5.0
antivir3294,-6.4
antivir2847,-6.3
antivir3149,-5.4
antivir1694,-6.0
antivir3007,-6.1
antivir109,-7.4
antivir1357,-6.2
antivir1777,-6.8
